calendar_age, ci_lower, mean, ci_upper
9.4462320000e+03, 3.3179115049e-04, 6.4250498041e-04, 9.4763855019e-04
9.4557360000e+03, 3.9836428879e-04, 6.8497752978e-04, 1.0111695339e-03
9.4652400000e+03, 4.5160376886e-04, 7.2452302081e-04, 1.0668640607e-03
9.4747440000e+03, 4.8565019030e-04, 7.5964052613e-04, 1.1287115021e-03
9.4842480000e+03, 5.0381612907e-04, 7.8879993170e-04, 1.1962075943e-03
9.4937520000e+03, 5.0719026624e-04, 8.1055002322e-04, 1.2367292201e-03
9.5032560000e+03, 5.0269449333e-04, 8.2364625840e-04, 1.2713993803e-03
9.5127600000e+03, 4.9769972440e-04, 8.2718571766e-04, 1.2890662990e-03
9.5222640000e+03, 4.9135778541e-04, 8.2072934935e-04, 1.2836720301e-03
9.5317680000e+03, 4.8025899884e-04, 8.0438534531e-04, 1.2635019796e-03
9.5412720000e+03, 4.6884502718e-04, 7.7882795893e-04, 1.2165783611e-03
9.5507760000e+03, 4.5784044767e-04, 7.4523813464e-04, 1.1488932154e-03
9.5602800000e+03, 4.3743662292e-04, 7.0517385591e-04, 1.0738764260e-03
9.5697840000e+03, 4.1146185549e-04, 6.6039902651e-04, 9.9464815355e-04
9.5792880000e+03, 3.7658174784e-04, 6.1270881766e-04, 9.0977376923e-04
9.5887920000e+03, 3.3424407263e-04, 5.6378333310e-04, 8.3548216317e-04
9.5982960000e+03, 2.8388904234e-04, 5.1508624795e-04, 7.6654277275e-04
9.6078000000e+03, 2.3726750809e-04, 4.6781011507e-04, 7.0151909150e-04
9.6173040000e+03, 1.9519702477e-04, 4.2286089747e-04, 6.4803109473e-04
9.6268080000e+03, 1.5672283780e-04, 3.8087111021e-04, 5.9684237999e-04
9.6363120000e+03, 1.2844951035e-04, 3.4223122005e-04, 5.5186853316e-04
9.6458160000e+03, 1.0748383543e-04, 3.0713050114e-04, 5.1317105567e-04
9.6553200000e+03, 8.9511140584e-05, 2.7560046135e-04, 4.7568836032e-04
9.6648240000e+03, 7.6005014769e-05, 2.4755598016e-04, 4.4250489559e-04
9.6743280000e+03, 6.6685689950e-05, 2.2283125063e-04, 4.1039983702e-04
9.6838320000e+03, 5.7369763165e-05, 2.0120926639e-04, 3.8314009439e-04
9.6933360000e+03, 5.0960387857e-05, 1.8244478288e-04, 3.6135553337e-04
9.7028400000e+03, 4.6588553148e-05, 1.6628139525e-04, 3.3997019990e-04
9.7123440000e+03, 4.2981853809e-05, 1.5246369831e-04, 3.1943886013e-04
9.7218480000e+03, 4.0365475356e-05, 1.4074555115e-04, 2.9952176130e-04
9.7313520000e+03, 3.7987877225e-05, 1.3089537369e-04, 2.8106378641e-04
9.7408560000e+03, 3.7190065638e-05, 1.2269924123e-04, 2.6499094512e-04
9.7503600000e+03, 3.5536679176e-05, 1.1596237421e-04, 2.4935347543e-04
9.7598640000e+03, 3.4321468694e-05, 1.1050947760e-04, 2.3502762510e-04
