calendar_age, ci_lower, mean, ci_upper
1.1508400000e+03, 4.5545195119e-09, 2.8906229464e-06, 1.2546565053e-05
1.1545600000e+03, 4.3998321909e-09, 2.8341803897e-06, 1.2107405175e-05
1.1582800000e+03, 3.9697095453e-09, 2.7843543248e-06, 1.1641164026e-05
1.1620000000e+03, 3.8475922049e-09, 2.7409071304e-06, 1.1297899666e-05
1.1657200000e+03, 3.5363089030e-09, 2.7036365868e-06, 1.0898211392e-05
1.1694400000e+03, 3.4981177027e-09, 2.6723934644e-06, 1.0563087439e-05
1.1731600000e+03, 3.2618848505e-09, 2.6470842470e-06, 1.0354868756e-05
1.1768800000e+03, 3.2305378283e-09, 2.6276612394e-06, 1.0335134293e-05
1.1806000000e+03, 3.0489534420e-09, 2.6141039481e-06, 1.0128313113e-05
1.1843200000e+03, 2.9476534008e-09, 2.6063972268e-06, 1.0124854604e-05
1.1880400000e+03, 2.8676517259e-09, 2.6045118773e-06, 1.0089165687e-05
1.1917600000e+03, 2.9015074490e-09, 2.6083916368e-06, 1.0073542716e-05
1.1954800000e+03, 2.8137513996e-09, 2.6179476925e-06, 1.0130311025e-05
1.1992000000e+03, 2.7961463699e-09, 2.6330596076e-06, 1.0166366819e-05
1.2029200000e+03, 2.7425598910e-09, 2.6535808134e-06, 1.0261930152e-05
1.2066400000e+03, 2.6635532694e-09, 2.6793473451e-06, 1.0342252398e-05
1.2103600000e+03, 2.6941705576e-09, 2.7101892344e-06, 1.0452418529e-05
1.2140800000e+03, 2.6089034250e-09, 2.7459440554e-06, 1.0674976367e-05
1.2178000000e+03, 2.5728703378e-09, 2.7864714422e-06, 1.0843121104e-05
1.2215200000e+03, 2.5486448830e-09, 2.8316663461e-06, 1.1067129787e-05
1.2252400000e+03, 2.4934163576e-09, 2.8814677898e-06, 1.1303121267e-05
1.2289600000e+03, 2.4480914640e-09, 2.9358592012e-06, 1.1623415717e-05
1.2326800000e+03, 2.5034274357e-09, 2.9948566139e-06, 1.1789936130e-05
1.2364000000e+03, 2.3354927695e-09, 3.0584831670e-06, 1.2053096798e-05
1.2401200000e+03, 2.2970561625e-09, 3.1267333572e-06, 1.2360446228e-05
1.2438400000e+03, 2.3797910272e-09, 3.1995376521e-06, 1.2648860258e-05
1.2475600000e+03, 2.4885509069e-09, 3.2767437716e-06, 1.3044667253e-05
1.2512800000e+03, 2.5228042510e-09, 3.3581298472e-06, 1.3459649899e-05
1.2550000000e+03, 2.4932543723e-09, 3.4434537550e-06, 1.3661851323e-05
1.2587200000e+03, 2.5179888516e-09, 3.5325256281e-06, 1.4002984105e-05
1.2624400000e+03, 2.5212290722e-09, 3.6252766819e-06, 1.4359971598e-05
1.2661600000e+03, 2.5497958196e-09, 3.7217968262e-06, 1.4721688580e-05
1.2698800000e+03, 2.5337970792e-09, 3.8223279140e-06, 1.5131789068e-05
1.2736000000e+03, 2.6204567466e-09, 3.9272202611e-06, 1.5528306793e-05
